+-----------------------------------------------------+-----------------+---------+
|                        State                        |      Action     | Q-Value |
|  (2, 1, 1, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.51  |
|  (3, 1, 1, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.55  |
|  (3, 0, 1, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.51  |
|  (4, 0, 1, False, True, True, False, False, False)  |    Actions.UP   |   -0.7  |
|  (3, 0, 1, False, True, True, False, False, False)  |  Actions.RIGHT  |   -0.3  |
|  (3, 0, 1, False, True, True, False, False, False)  |    Actions.UP   |  -0.66  |
|  (2, 0, 1, False, True, True, False, False, False)  | Actions.DROPOFF |   9.88  |
|  (2, 0, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.73  |
|  (2, 1, 0, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.86  |
|  (2, 0, 0, False, True, True, False, False, False)  |    Actions.UP   |   -1.0  |
|  (1, 0, 0, False, True, True, False, False, False)  |    Actions.UP   |  -0.66  |
|  (0, 0, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.51  |
|  (0, 1, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.76  |
|  (0, 2, 0, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.55  |
|  (1, 2, 0, False, True, True, False, False, False)  |   Actions.DOWN  |   -0.3  |
|  (2, 2, 0, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.34  |
|  (2, 1, 0, False, True, True, False, False, False)  |    Actions.UP   |  -0.59  |
|  (1, 1, 0, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.66  |
|  (1, 0, 0, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.76  |
|  (2, 1, 0, False, True, True, False, False, False)  |   Actions.DOWN  |   -0.7  |
|  (3, 1, 0, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.51  |
|  (4, 1, 0, False, True, True, False, False, False)  |   Actions.LEFT  |  -0.66  |
|  (4, 0, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.79  |
|  (4, 0, 0, False, True, True, False, False, False)  |    Actions.UP   |  -0.88  |
|  (3, 0, 0, False, True, True, False, False, False)  |    Actions.UP   |   -0.8  |
|  (1, 0, 0, False, True, True, False, False, False)  |  Actions.RIGHT  |  -0.87  |
|  (1, 1, 0, False, True, True, False, False, False)  |   Actions.DOWN  |  -0.54  |
|  (3, 1, 0, False, True, True, False, False, False)  |    Actions.UP   |  -0.76  |
|   (2, 0, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -0.76  |
|   (3, 0, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.66  |
|   (3, 1, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.76  |
|   (3, 0, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -0.87  |
|   (4, 0, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.66  |
|   (4, 1, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.83  |
|   (4, 2, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.51  |
|   (3, 2, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -0.51  |
|   (4, 2, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.66  |
|   (4, 2, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.91  |
|   (4, 3, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.66  |
|   (3, 3, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.99  |
|   (3, 4, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.78  |
|   (3, 3, 0, False, True, True, False, False, True)  |   Actions.DOWN  |   -0.3  |
|   (4, 3, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.66  |
|   (4, 1, 0, False, True, True, False, False, True)  |    Actions.UP   |   -0.3  |
|   (3, 0, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.51  |
|   (3, 1, 0, False, True, True, False, False, True)  |   Actions.DOWN  |   -0.3  |
|   (4, 1, 0, False, True, True, False, False, True)  |   Actions.LEFT  |   -0.3  |
|   (4, 3, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -1.19  |
|   (4, 4, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.87  |
|   (3, 4, 0, False, True, True, False, True, True)   |    Actions.UP   |  -0.78  |
|   (2, 4, 0, False, True, True, False, True, True)   |   Actions.LEFT  |  -1.03  |
|   (2, 3, 0, False, True, True, False, True, True)   |    Actions.UP   |  -1.05  |
|   (1, 3, 0, False, True, True, False, True, True)   |   Actions.DOWN  |   -1.1  |
|   (2, 3, 0, False, True, True, False, True, True)   |   Actions.LEFT  |  -1.05  |
|   (2, 2, 0, False, True, True, False, True, True)   |    Actions.UP   |  -0.98  |
|   (1, 2, 0, False, True, True, False, True, True)   |   Actions.LEFT  |   -0.9  |
|   (1, 1, 0, False, True, True, False, True, True)   |  Actions.RIGHT  |  -0.76  |
|   (1, 2, 0, False, True, True, False, True, True)   |  Actions.RIGHT  |  -0.55  |
|   (1, 3, 0, False, True, True, False, True, True)   |  Actions.RIGHT  |  -0.66  |
|   (1, 4, 0, False, True, True, False, True, True)   |    Actions.UP   |  -0.51  |
|   (0, 4, 0, False, True, True, False, True, True)   |  Actions.PICKUP |   8.47  |
|    (0, 4, 1, True, True, True, False, True, True)   |   Actions.LEFT  |  -1.15  |
|    (0, 3, 1, True, True, True, False, True, True)   |   Actions.DOWN  |  -1.35  |
